fa_flight_id,groundspeed,heading,longitude,latitude,timestamp,altitude
AIQ3029-1670715240-schedule-0553,194.93103448275863,289.3448275862069,100.54618310344829,13.866729310344828,2022-12-12 23:44:22+00:00,3058.620689655172
AIQ3029-1670715240-schedule-0553,195.1379310344828,290.3103448275862,100.54540379310346,13.867071379310346,2022-12-12 23:44:23+00:00,3082.7586206896553
AIQ3029-1670715240-schedule-0553,195.3448275862069,291.2758620689655,100.54462448275862,13.867413448275862,2022-12-12 23:44:24+00:00,3106.896551724138
AIQ3029-1670715240-schedule-0553,195.55172413793105,292.2413793103448,100.5438451724138,13.86775551724138,2022-12-12 23:44:25+00:00,3131.0344827586205
AIQ3029-1670715240-schedule-0553,195.7586206896552,293.2068965517241,100.54306586206896,13.868097586206895,2022-12-12 23:44:26+00:00,3155.1724137931037
AIQ3029-1670715240-schedule-0553,195.9655172413793,294.17241379310343,100.54228655172416,13.868439655172416,2022-12-12 23:44:27+00:00,3179.310344827586
AIQ3029-1670715240-schedule-0553,196.17241379310343,295.13793103448273,100.54150724137932,13.868781724137932,2022-12-12 23:44:28+00:00,3203.448275862069
AIQ3029-1670715240-schedule-0553,196.3793103448276,296.1034482758621,100.5407279310345,13.86912379310345,2022-12-12 23:44:29+00:00,3227.5862068965525
AIQ3029-1670715240-schedule-0553,196.5862068965517,297.0689655172414,100.53994862068966,13.869465862068964,2022-12-12 23:44:30+00:00,3251.724137931035
AIQ3029-1670715240-schedule-0553,196.79310344827587,298.0344827586207,100.53916931034485,13.869807931034485,2022-12-12 23:44:31+00:00,3275.862068965517
AIQ3029-1670715240-schedule-0553,197.0,299.0,100.53839,13.87015,2022-12-12 23:44:32+00:00,3300.0
AIQ3029-1670715240-schedule-0553,198.5,298.93333333333334,100.537452,13.870637,2022-12-12 23:44:33+00:00,3313.3333333333335
AIQ3029-1670715240-schedule-0553,200.0,298.8666666666667,100.536514,13.871124,2022-12-12 23:44:34+00:00,3326.6666666666665
AIQ3029-1670715240-schedule-0553,201.5,298.8,100.535576,13.871611,2022-12-12 23:44:35+00:00,3340.0
AIQ3029-1670715240-schedule-0553,203.0,298.7333333333333,100.534638,13.872098,2022-12-12 23:44:36+00:00,3353.333333333333
AIQ3029-1670715240-schedule-0553,204.5,298.6666666666667,100.5337,13.872585,2022-12-12 23:44:37+00:00,3366.6666666666665
AIQ3029-1670715240-schedule-0553,206.0,298.6,100.532762,13.873072,2022-12-12 23:44:38+00:00,3379.9999999999995
AIQ3029-1670715240-schedule-0553,207.5,298.53333333333336,100.531824,13.873559,2022-12-12 23:44:39+00:00,3393.333333333333
AIQ3029-1670715240-schedule-0553,209.0,298.46666666666664,100.530886,13.874046,2022-12-12 23:44:40+00:00,3406.666666666667
AIQ3029-1670715240-schedule-0553,210.5,298.4,100.529948,13.874533,2022-12-12 23:44:41+00:00,3420.0000000000005
AIQ3029-1670715240-schedule-0553,212.0,298.3333333333333,100.52901,13.87502,2022-12-12 23:44:42+00:00,3433.3333333333335
AIQ3029-1670715240-schedule-0553,213.5,298.26666666666665,100.528072,13.875507,2022-12-12 23:44:43+00:00,3446.666666666667
AIQ3029-1670715240-schedule-0553,215.0,298.2,100.527134,13.875994,2022-12-12 23:44:44+00:00,3460.0
AIQ3029-1670715240-schedule-0553,216.5,298.1333333333333,100.526196,13.876481,2022-12-12 23:44:45+00:00,3473.3333333333335
AIQ3029-1670715240-schedule-0553,218.0,298.06666666666666,100.525258,13.876968,2022-12-12 23:44:46+00:00,3486.6666666666665
AIQ3029-1670715240-schedule-0553,219.5,298.0,100.52432,13.877455,2022-12-12 23:44:47+00:00,3500.0
AIQ3029-1670715240-schedule-0553,221.0,297.93333333333334,100.523382,13.877942,2022-12-12 23:44:48+00:00,3513.3333333333335
AIQ3029-1670715240-schedule-0553,222.5,297.8666666666667,100.522444,13.878429,2022-12-12 23:44:49+00:00,3526.6666666666665
AIQ3029-1670715240-schedule-0553,224.0,297.8,100.521506,13.878916,2022-12-12 23:44:50+00:00,3540.0
