NPD_ID;Noise Metric;Op Mode;Power Setting;L_200ft;L_400ft;L_630ft;L_1000ft;L_2000ft;L_4000ft;L_6300ft;L_10000ft;L_16000ft;L_25000ft
2JT8D2;LAmax;D;9000;100.6;93.9;89.5;84.8;77.3;69;62.9;56.1;49.2;42.5
2JT8D2;LAmax;D;11000;103;96.3;91.9;87.2;79.6;71.2;65;58.2;51.2;44.4
2JT8D2;LAmax;D;13000;105.4;98.7;94.2;89.5;81.8;73.3;67.1;60.2;53.1;46.3
2JT8D2;LAmax;D;15000;107.8;101.1;96.6;91.8;84.1;75.5;69.2;62.2;55.1;48.2
2JT8D2;LAmax;D;17000;110.2;103.5;99;94.2;86.4;77.6;71.3;64.2;57;50.1
2JT8D2;LAmax;D;19000;112.6;105.9;101.4;96.5;88.6;79.8;73.4;66.2;59;52
2JT8D2;PNLTM;A;4000;103;95.1;90.1;84.7;76.1;66.6;59.7;52.2;44.5;37.2
2JT8D2;PNLTM;A;4667;104.1;96.2;91.2;85.8;77.1;67.6;60.7;53.2;45.5;38.1
2JT8D2;PNLTM;A;5333;105.1;97.3;92.2;86.9;78.2;68.6;61.7;54.1;46.5;39.1
2JT8D2;PNLTM;A;6000;106.1;98.4;93.3;87.9;79.2;69.7;62.7;55.1;47.4;40
2JT8D2;PNLTM;D;9000;112.7;105.8;101.1;96.3;88.3;79.4;72.8;65.4;57.9;50.6
2JT8D2;PNLTM;D;11000;115.2;108.3;103.5;98.5;90.5;81.6;75;67.6;60;52.8
2JT8D2;PNLTM;D;13000;117.6;110.7;105.9;100.8;92.7;83.7;77.1;69.7;62.2;54.9
2JT8D2;PNLTM;D;15000;120.1;113.2;108.3;103.1;94.9;85.9;79.3;71.9;64.3;57.1
2JT8D2;PNLTM;D;17000;122.6;115.6;110.7;105.4;97.1;88.1;81.4;74;66.5;59.2
2JT8D2;PNLTM;D;19000;125;118.1;113;107.6;99.3;90.3;83.6;76.2;68.6;61.4
2JT8D2;SEL;A;4000;91.5;87.5;84.7;81.9;77.1;71.6;67.2;62.4;57.5;52.9
2JT8D2;SEL;A;4667;92.6;88.5;85.8;82.9;78.1;72.6;68.2;63.4;58.5;53.8
2JT8D2;SEL;A;5333;93.7;89.6;86.8;83.9;79.1;73.6;69.2;64.4;59.4;54.8
2JT8D2;SEL;A;6000;94.7;90.6;87.8;84.9;80.1;74.6;70.2;65.4;60.4;55.7
2JT8D2;SEL;D;9000;100.1;96.3;93.7;91;86.3;80.8;76.6;71.6;66.5;61.7
2JT8D2;SEL;D;11000;102.4;98.7;96.1;93.3;88.6;83;78.7;73.7;68.7;63.8
2JT8D2;SEL;D;13000;104.8;101;98.5;95.6;90.9;85.2;80.9;75.9;70.8;65.9
2JT8D2;SEL;D;15000;107.1;103.4;100.8;98;93.1;87.4;83.1;78;72.9;68
2JT8D2;SEL;D;17000;109.5;105.7;103.2;100.3;95.4;89.6;85.2;80.2;75;70.1
2JT8D2;SEL;D;19000;111.8;108.1;105.5;102.7;97.7;91.8;87.4;82.3;77.2;72.2
2JT8DH;EPNL;A;3000;98.2;92.9;89.5;85.6;78.4;70.5;64.7;58.2;49.6;40.5
2JT8DH;EPNL;A;6000;101.9;97.3;93.7;89.8;83.9;76.9;71.6;66.3;59.9;50.8
2JT8DH;EPNL;D;8000;104.8;100.3;96.9;93.3;87.5;80.5;75.6;69.7;63.1;55.2
2JT8DH;EPNL;D;10000;108.2;103.9;100.9;97.3;91.6;84.6;79.9;74.5;68.7;62.7
2JT8DH;EPNL;D;12000;111.3;107.3;104.3;101;95.4;88.5;83.7;78.2;71.7;64.7
2JT8DH;EPNL;D;14000;114.3;110.5;107.6;104.4;99.1;92.9;88.3;82.7;76.7;70.7
2JT8DH;LAmax;A;3000;88.6;83;76.9;71.2;62.7;54.1;48;41.2;33.4;25.2
2JT8DH;LAmax;A;6000;93.9;88.7;84.5;79.9;72.5;64;57.8;50.8;42.9;34.3
2JT8DH;LAmax;D;8000;101.1;94.5;90;85.2;77.5;68.8;62.5;55.4;47.3;38.7
2JT8DH;LAmax;D;10000;103.5;96.9;92.5;87.7;79.9;71.2;64.8;57.6;49.6;41.2
2JT8DH;LAmax;D;12000;108;101.4;97;92.2;84.5;75.8;69.4;62.4;54.4;45.9
2JT8DH;LAmax;D;14000;110.7;104.2;99.8;95.1;87.5;79;72.8;65.9;58.2;50
2JT8DH;PNLTM;A;3000;104.1;97;90.5;83.3;73.6;63.7;56.4;47.9;37.1;25.4
2JT8DH;PNLTM;A;6000;109.1;101.6;96.8;91.8;83.6;74.2;67.5;60;51.5;39.9
2JT8DH;PNLTM;D;8000;113.5;106.6;101.8;96.5;88;78.7;71.9;64.3;55.5;45.1
2JT8DH;PNLTM;D;10000;115.8;108.8;103.9;98.8;90.4;81.5;74.9;67.5;59.6;51
2JT8DH;PNLTM;D;12000;120.3;113.4;108.6;103.4;95.2;86.1;79.5;72;63.5;54
2JT8DH;PNLTM;D;14000;122.8;116;111.5;106.7;98.8;89.9;83.4;76.1;67.9;59.3
2JT8DH;SEL;A;3000;92.6;88.5;85;81.2;75.5;69;64.1;58.5;51.9;44.9
2JT8DH;SEL;A;6000;97.9;93.6;90.8;87.9;83;76.7;71.7;65.9;59.2;51.8
2JT8DH;SEL;D;8000;99.5;95.8;93.2;90.3;85.4;79;73.8;67.9;61.1;53.6
2JT8DH;SEL;D;10000;103.6;99.9;97.3;94.4;89.5;83;77.8;71.8;65;57.7
2JT8DH;SEL;D;12000;107.2;103.5;100.9;98;93.1;86.7;81.5;75.6;68.9;61.5
2JT8DH;SEL;D;14000;110.8;107.2;104.6;101.8;97;90.6;85.6;79.9;73.4;66.4
2JT8DL;EPNL;A;3000;98.9;94;90.5;86.3;79.1;71.4;65.5;59.6;51.7;41.9
2JT8DL;EPNL;A;6000;102;97.7;94.3;90.5;84.1;76.7;71.2;65.5;58.8;50.2
2JT8DL;EPNL;D;8000;106.8;102.1;98.7;94.6;88.2;80.9;75.8;69.9;63;55.1
2JT8DL;EPNL;D;10000;109.6;105.3;102;98.2;92;85;79.9;74;67.3;60.6
2JT8DL;EPNL;D;12000;112.8;108.3;105.3;101.8;96;89;84.1;78.5;71.9;65.1
2JT8DL;EPNL;D;14000;115.5;111.5;108.6;105.3;99.5;92.7;88.1;82.8;76.8;70.5
2JT8DL;LAmax;A;3000;92.7;85.7;80.8;75.8;67.8;59;52.6;45.4;37.2;28.7
2JT8DL;LAmax;A;6000;96.7;89.9;85.3;80.4;72.4;63.6;57.2;50;41.8;33.2
2JT8DL;LAmax;D;8000;102;95.2;90.7;85.8;77.8;69;62.6;55.5;47.3;38.7
2JT8DL;LAmax;D;10000;105.7;98.5;93.9;89;81;72.2;65.8;58.6;50.6;42
2JT8DL;LAmax;D;12000;109.3;102.5;98;93.2;85.3;76.5;70;62.9;54.9;46.4
2JT8DL;LAmax;D;14000;112.5;105.8;101.3;96.4;88.5;79.5;72.9;65.7;57.6;49.1
2JT8DL;PNLTM;A;3000;106.1;99;93.8;87.9;78.2;68.2;60.9;52.9;42.9;30.6
2JT8DL;PNLTM;A;6000;110.3;103;98;92.5;83;73.6;66.7;58.9;50.1;38.9
2JT8DL;PNLTM;D;8000;115;108;103;97.5;88.4;78.9;72;64.2;55.2;44.9
2JT8DL;PNLTM;D;10000;118.1;111.2;106.3;100.8;91.5;82.1;75.2;67.5;58.6;49.4
2JT8DL;PNLTM;D;12000;121.5;114.7;109.8;104.5;95.9;86.6;79.9;72.4;63.7;54.1
2JT8DL;PNLTM;D;14000;125;118.1;113.3;107.9;99;89.8;83.4;76.2;68;59.1
2JT8DL;SEL;A;3000;94.7;90.2;87;83.7;78.4;71.7;66.5;60.4;53.5;46.1
2JT8DL;SEL;A;6000;97.9;94;91.2;88.2;83;76.5;71.2;65.2;58.3;50.8
2JT8DL;SEL;D;8000;101.2;97.3;94.5;91.5;86.3;79.7;74.5;68.5;61.6;54.1
2JT8DL;SEL;D;10000;104.6;101.3;98.4;95.3;90.1;83.6;78.3;72.4;65.5;58.1
2JT8DL;SEL;D;12000;108.1;104.7;101.9;99;94;87.4;82.1;76.2;69.4;62.1
2JT8DL;SEL;D;14000;111.7;108;105.3;102.4;97.3;90.6;85.3;79.2;72.3;65
2JT8DN;EPNL;A;3000;99.7;94.2;90.3;86;79;71.4;66;60.3;54.2;48.1
2JT8DN;EPNL;A;5000;103.3;97.7;93.8;89.5;82.7;75.4;70.3;64.9;59.1;53.3
2JT8DN;EPNL;D;6000;100.6;96.6;93.6;90.3;84.4;78.5;74.1;69.3;64.1;58.8
